Loss Function,Regularization,Optimizer,Train Loss,Validation Loss,Final Accuracy,Time (s)
CrossEntropyLoss,None,SGD,"[1.0283909440040588, 0.9582858085632324, 0.9159632474184036, 0.8721041157841682, 0.8452379480004311, 0.8021314367651939, 0.7718480229377747, 0.7514054626226425, 0.7236893624067307, 0.7346799448132515, 0.6794452741742134, 0.6608842983841896, 0.6426436826586723, 0.6372331157326698, 0.6267239190638065, 0.6000460088253021, 0.5784440897405148, 0.5777476280927658, 0.5671513862907887, 0.545389611274004, 0.5593251101672649, 0.5459852740168571, 0.5255910903215408, 0.5258753076195717, 0.49666544049978256, 0.49926743283867836, 0.47386062890291214, 0.48663904145359993, 0.48597124218940735, 0.4679483436048031, 0.46014706417918205, 0.46060166135430336, 0.4597638323903084, 0.448374480009079, 0.4448634013533592, 0.4377220533788204, 0.4318764694035053, 0.4148114211857319, 0.4193681478500366, 0.4081372879445553, 0.41669993847608566, 0.4019377827644348, 0.3983774371445179, 0.39326586574316025, 0.38843604549765587, 0.39483990520238876, 0.3848748952150345, 0.37340178340673447, 0.36223381385207176, 0.3823999986052513]","[0.9534113109111786, 0.9371850788593292, 0.8874344527721405, 0.8416784405708313, 0.813024640083313, 0.7701092064380646, 0.7391601502895355, 0.7293469607830048, 0.7059361636638641, 0.6711635589599609, 0.6467099487781525, 0.6304846405982971, 0.6109830141067505, 0.5970724523067474, 0.585849791765213, 0.6265173256397247, 0.5545663833618164, 0.5433961153030396, 0.5604464709758759, 0.5267152488231659, 0.5837827920913696, 0.5303268283605576, 0.49684612452983856, 0.5391445308923721, 0.47945068776607513, 0.48261554539203644, 0.46741724014282227, 0.4588480442762375, 0.4663890302181244, 0.44603870809078217, 0.44564084708690643, 0.4391762465238571, 0.4325241148471832, 0.44281546771526337, 0.44634415209293365, 0.4686891734600067, 0.4084840416908264, 0.4044053554534912, 0.40112243592739105, 0.39313995838165283, 0.39610208570957184, 0.38514111936092377, 0.42289136350154877, 0.3846752196550369, 0.38737067580223083, 0.3789617121219635, 0.3843936622142792, 0.3672046512365341, 0.3595510274171829, 0.3800889700651169]",0.8666666666666667,0.5355112552642822
CrossEntropyLoss,None,Adam,"[1.2345904782414436, 0.9533039554953575, 0.8850443884730339, 0.8203389644622803, 0.7327412143349648, 0.6721614897251129, 0.6135876849293709, 0.580641470849514, 0.543651632964611, 0.5104306414723396, 0.4841870032250881, 0.45192815363407135, 0.426434189081192, 0.4108036309480667, 0.38644084334373474, 0.37660491466522217, 0.36129130423069, 0.34569767862558365, 0.31849826127290726, 0.31173622608184814, 0.30263232812285423, 0.28221420384943485, 0.2699467856436968, 0.250403406098485, 0.24516059830784798, 0.2384587824344635, 0.24321173131465912, 0.23462063074111938, 0.21769786439836025, 0.20868224557489157, 0.18520427215844393, 0.18491486832499504, 0.17573481425642967, 0.16377325914800167, 0.15974769741296768, 0.14913616748526692, 0.1630626441910863, 0.14850242715328932, 0.14049280062317848, 0.1357186483219266, 0.12902274075895548, 0.15622845105826855, 0.17945305863395333, 0.14052097499370575, 0.11494363378733397, 0.11260532354936004, 0.11945735197514296, 0.11329461075365543, 0.11720674112439156, 0.1248031361028552]","[0.977441281080246, 0.8968937695026398, 0.8030055463314056, 0.7644883394241333, 0.6636142432689667, 0.6226664781570435, 0.5760698616504669, 0.5263385772705078, 0.4981914907693863, 0.4694669842720032, 0.44065694510936737, 0.4135075807571411, 0.4041607230901718, 0.3828289657831192, 0.35746605694293976, 0.34268245100975037, 0.32543571293354034, 0.31034235656261444, 0.2993639409542084, 0.2813597023487091, 0.27048078179359436, 0.25475209951400757, 0.24813707172870636, 0.23027797788381577, 0.21991275995969772, 0.20954352617263794, 0.19791559129953384, 0.19046564400196075, 0.1831754520535469, 0.17782410234212875, 0.17874415591359138, 0.16497483849525452, 0.1549305021762848, 0.1493658423423767, 0.14491769298911095, 0.14118749648332596, 0.13790573179721832, 0.13296206295490265, 0.1280256323516369, 0.12403213605284691, 0.12226619198918343, 0.12664302438497543, 0.12056795880198479, 0.11093951016664505, 0.10887972265481949, 0.1059533879160881, 0.10503774881362915, 0.10164281353354454, 0.10147995501756668, 0.10262444615364075]",0.9666666666666667,0.7684023380279541
CrossEntropyLoss,None,RMSprop,"[1.4728090539574623, 0.6424948610365391, 0.5254648216068745, 0.4733666330575943, 0.43748689442873, 0.3842640817165375, 0.36683977022767067, 0.30880413204431534, 0.32417260855436325, 0.28262064792215824, 0.2940864507108927, 0.2715333178639412, 0.2685254719108343, 0.229496942833066, 0.20708460174500942, 0.20267261564731598, 0.17823191732168198, 0.18024480156600475, 0.1711471052840352, 0.18528106808662415, 0.2133618276566267, 0.13489089254289865, 0.16882126592099667, 0.1362794851884246, 0.195788093842566, 0.13146985322237015, 0.11949241161346436, 0.15521480375900865, 0.17041846131905913, 0.13390506245195866, 0.13439187221229076, 0.16030521178618073, 0.09987603034824133, 0.09820577967911959, 0.10731433145701885, 0.10695270728319883, 0.09896288765594363, 0.10456460923887789, 0.08954867790453136, 0.09729185188189149, 0.11199682857841253, 0.09782310691662133, 0.0827155311126262, 0.17188720451667905, 0.12586593045853078, 0.08121839305385947, 0.07663140119984746, 0.09270279458723962, 0.09774666978046298, 0.0731720409821719]","[0.8581520020961761, 0.5237808376550674, 0.43856658041477203, 0.45786309242248535, 0.37657925486564636, 0.3774130344390869, 0.3400307223200798, 0.35483337938785553, 0.30999940633773804, 0.2615370377898216, 0.4421045184135437, 0.31517263501882553, 0.23258153349161148, 0.21659005433321, 0.20493867993354797, 0.20616332441568375, 0.22977853566408157, 0.17636661231517792, 0.19246989488601685, 0.16528606787323952, 0.15907170996069908, 0.15149202197790146, 0.17512230202555656, 0.159760270267725, 0.17183682322502136, 0.13493743166327477, 0.1299658827483654, 0.34409399330616, 0.12975038960576057, 0.14693067222833633, 0.25954658538103104, 0.14698418974876404, 0.11677789688110352, 0.11400666832923889, 0.12735121697187424, 0.11703743785619736, 0.10876332968473434, 0.1055711880326271, 0.10444895923137665, 0.11647314205765724, 0.37949058413505554, 0.09947982430458069, 0.09970510005950928, 0.09666694328188896, 0.13522836565971375, 0.1051527988165617, 0.0955075491219759, 0.11955608054995537, 0.0903716292232275, 0.10410366021096706]",0.9666666666666667,0.7217247486114502
CrossEntropyLoss,L1,SGD,"[1.2709352225065231, 1.115032970905304, 1.0750951617956161, 1.0470915734767914, 1.023914322257042, 1.0029373243451118, 0.9772875756025314, 0.9515085071325302, 0.9259827584028244, 0.9056910872459412, 0.881678618490696, 0.8607345670461655, 0.8395841717720032, 0.8191420957446098, 0.7974236533045769, 0.7726446017622948, 0.7594889104366302, 0.7415141463279724, 0.7233291640877724, 0.7053420543670654, 0.6836860179901123, 0.6671488583087921, 0.6688223406672478, 0.6405268013477325, 0.6299029439687729, 0.6231302171945572, 0.6079795435070992, 0.6095884814858437, 0.5809157453477383, 0.5838031955063343, 0.5791656002402306, 0.5693673267960548, 0.5612680725753307, 0.5381281487643719, 0.537427831441164, 0.5468015596270561, 0.5329006314277649, 0.5193748697638512, 0.5243480242788792, 0.5117885656654835, 0.5110581405460835, 0.5142432786524296, 0.5039138682186604, 0.5032494254410267, 0.47909414768218994, 0.47787007316946983, 0.4841400235891342, 0.4815043620765209, 0.4620210640132427, 0.4610995501279831]","[1.1749444007873535, 1.0905410647392273, 1.0445637106895447, 1.0105127692222595, 0.9873549044132233, 0.9660457968711853, 0.9400110840797424, 0.9122315049171448, 0.8903391361236572, 0.8635052740573883, 0.8443300127983093, 0.8195858597755432, 0.7987879812717438, 0.7771496176719666, 0.7600780427455902, 0.7416768372058868, 0.7206989526748657, 0.7026016712188721, 0.6848450303077698, 0.6691767573356628, 0.657921701669693, 0.6384003162384033, 0.6293725967407227, 0.6168502271175385, 0.6086660921573639, 0.5921302437782288, 0.5823549926280975, 0.570220559835434, 0.5570893883705139, 0.5509063899517059, 0.5400342643260956, 0.5332857072353363, 0.5274496078491211, 0.5168151408433914, 0.5106140673160553, 0.5101346969604492, 0.503501683473587, 0.49188144505023956, 0.487985223531723, 0.4833531975746155, 0.4789699614048004, 0.47953058779239655, 0.47289833426475525, 0.48302173614501953, 0.46425384283065796, 0.4525872617959976, 0.4564147889614105, 0.4516431391239166, 0.4472929537296295, 0.4399363398551941]",0.9,0.6433088779449463
CrossEntropyLoss,L1,Adam,"[1.165429875254631, 1.013298250734806, 0.8998975455760956, 0.807948149740696, 0.7071833983063698, 0.6227947622537613, 0.5372793599963188, 0.49068230390548706, 0.43779608979821205, 0.3957100361585617, 0.35858946293592453, 0.3357265070080757, 0.2973379520699382, 0.2875840589404106, 0.25260883290320635, 0.24424784816801548, 0.2298360038548708, 0.22872521728277206, 0.19788564555346966, 0.19404274504631758, 0.17592131346464157, 0.17587667610496283, 0.17609913740307093, 0.1496527222916484, 0.1607719948515296, 0.189017616212368, 0.17399381194263697, 0.1502512451261282, 0.16398064605891705, 0.1602239403873682, 0.1438669739291072, 0.1476368773728609, 0.1614368325099349, 0.16469816770404577, 0.17956830002367496, 0.13020760752260685, 0.1318708248436451, 0.13395593129098415, 0.14337879698723555, 0.15038649132475257, 0.12871463783085346, 0.1226320187561214, 0.12179105542600155, 0.14593307860195637, 0.14869991783052683, 0.15413824375718832, 0.13501504762098193, 0.12772534973919392, 0.11486879922449589, 0.12185157090425491]","[1.0158957540988922, 0.8974944651126862, 0.8149820268154144, 0.7121347486972809, 0.6295733153820038, 0.5453473627567291, 0.48266880214214325, 0.42185424268245697, 0.3783796727657318, 0.3680538088083267, 0.3162311315536499, 0.3075782507658005, 0.2641606554389, 0.24339186400175095, 0.2243172898888588, 0.23693588376045227, 0.199036106467247, 0.21175453811883926, 0.1739613115787506, 0.1658693552017212, 0.15354164317250252, 0.15698246657848358, 0.14344168826937675, 0.1800103336572647, 0.1552891582250595, 0.14104489982128143, 0.12298654392361641, 0.11527122929692268, 0.1503443345427513, 0.10890669003129005, 0.12553930655121803, 0.10452732443809509, 0.1125687025487423, 0.11289158090949059, 0.10140464827418327, 0.10875602066516876, 0.09444746375083923, 0.09932197257876396, 0.0917617566883564, 0.09228061884641647, 0.09019513800740242, 0.09028370305895805, 0.09118921309709549, 0.08736135810613632, 0.0862513892352581, 0.08529032766819, 0.08770696073770523, 0.08229335583746433, 0.09885876253247261, 0.08205100893974304]",0.9666666666666667,0.7079744338989258
CrossEntropyLoss,L1,RMSprop,"[1.1163152381777763, 0.7921617850661278, 0.5898285806179047, 0.498273853212595, 0.48326462134718895, 0.3962319940328598, 0.38715968281030655, 0.32211289927363396, 0.3311906233429909, 0.27313660457730293, 0.28039538487792015, 0.24550515785813332, 0.24576888419687748, 0.23551540821790695, 0.2078877929598093, 0.20909278094768524, 0.2333024563267827, 0.19123632833361626, 0.174148915335536, 0.18550900742411613, 0.19707611296325922, 0.17305818852037191, 0.15714591182768345, 0.1710716439411044, 0.15904958359897137, 0.1394075946882367, 0.16196231869980693, 0.154406251385808, 0.15596709493547678, 0.14789908286184072, 0.1477970127016306, 0.12485156441107392, 0.12802039831876755, 0.16570538142696023, 0.12985317036509514, 0.11496767122298479, 0.14833298418670893, 0.12883912585675716, 0.10767866903916001, 0.11146439705044031, 0.11608558241277933, 0.11027112044394016, 0.1794461701065302, 0.12064965348690748, 0.12799330428242683, 0.13908545672893524, 0.11768046161159873, 0.12355972174555063, 0.14024709211662412, 0.10913314577192068]","[1.1559778153896332, 0.5949025452136993, 0.5446114838123322, 0.5297434777021408, 0.4850930720567703, 0.33695606887340546, 0.3242056965827942, 0.3352760523557663, 0.2916857451200485, 0.2504066973924637, 0.2765081003308296, 0.34423645585775375, 0.25995469838380814, 0.18892975896596909, 0.19818250834941864, 0.2256045565009117, 0.2202748954296112, 0.18948067724704742, 0.21248097717761993, 0.30993837863206863, 0.15531766787171364, 0.13903287053108215, 0.1317051611840725, 0.15007688105106354, 0.12627500295639038, 0.15126477926969528, 0.14556747302412987, 0.1991746760904789, 0.12656113132834435, 0.11154549941420555, 0.11634649708867073, 0.11118583753705025, 0.26417263597249985, 0.10499954596161842, 0.1017511896789074, 0.11336910724639893, 0.1266801916062832, 0.12458164989948273, 0.10661122389137745, 0.12909423559904099, 0.0926271453499794, 0.09165846183896065, 0.1375592853873968, 0.316755972802639, 0.0945388413965702, 0.3961922824382782, 0.1897340938448906, 0.14237844571471214, 0.11146819964051247, 0.08719627559185028]",0.9666666666666667,0.6430225372314453
CrossEntropyLoss,L2,SGD,"[1.0894379168748856, 1.0642785280942917, 1.0459603071212769, 1.0265533775091171, 1.0152265653014183, 0.9980522245168686, 0.9864143803715706, 0.9696607142686844, 0.9568816795945168, 0.9404756724834442, 0.9243826568126678, 0.9064078480005264, 0.8889156430959702, 0.8747864589095116, 0.8562718033790588, 0.8387250602245331, 0.817908763885498, 0.8116670548915863, 0.7859854996204376, 0.7647805064916611, 0.7513773962855339, 0.7301468029618263, 0.7180527001619339, 0.7066267877817154, 0.6952921599149704, 0.670277401804924, 0.6563425436615944, 0.6432266011834145, 0.6305737718939781, 0.6278676763176918, 0.6166568994522095, 0.594603881239891, 0.5901540257036686, 0.5772085338830948, 0.5707300007343292, 0.5638371855020523, 0.5507091619074345, 0.5450009554624557, 0.5499842427670956, 0.5384761057794094, 0.5264294482767582, 0.5163352899253368, 0.5100291632115841, 0.5125095918774605, 0.5139443762600422, 0.4923001043498516, 0.49427855759859085, 0.4859266132116318, 0.48716239631175995, 0.4794454760849476]","[1.0630801916122437, 1.0414543747901917, 1.0216211676597595, 1.006321668624878, 0.9930212199687958, 0.9780773818492889, 0.9639604091644287, 0.9492635726928711, 0.9342548847198486, 0.9198633432388306, 0.9029679596424103, 0.8853983283042908, 0.8692114055156708, 0.8522434234619141, 0.8357304036617279, 0.8170405626296997, 0.7976177334785461, 0.7837119400501251, 0.7662743926048279, 0.7472318708896637, 0.7311720848083496, 0.7143990695476532, 0.6988867521286011, 0.6846619248390198, 0.6698748469352722, 0.6548226475715637, 0.6402389705181122, 0.6271200478076935, 0.6131575703620911, 0.6027387976646423, 0.5915574729442596, 0.580662876367569, 0.571713000535965, 0.5609952807426453, 0.5538941621780396, 0.5462300479412079, 0.5380591154098511, 0.5301434695720673, 0.5252531170845032, 0.5178738534450531, 0.5114047229290009, 0.5075879991054535, 0.49547892808914185, 0.490221306681633, 0.48436515033245087, 0.47872526943683624, 0.47498513758182526, 0.46977198123931885, 0.4686252027750015, 0.4591466188430786]",0.8333333333333334,0.5104415416717529
CrossEntropyLoss,L2,Adam,"[1.1855952739715576, 1.0484799668192863, 1.001700259745121, 0.920090802013874, 0.8311142772436142, 0.7399758994579315, 0.6488668844103813, 0.5607694014906883, 0.4989638291299343, 0.46251046657562256, 0.4364239051938057, 0.41501640528440475, 0.3788313940167427, 0.37724894657731056, 0.3177003264427185, 0.33546721562743187, 0.3030041716992855, 0.29885448329150677, 0.2802129741758108, 0.262671722099185, 0.2413207907229662, 0.23287657089531422, 0.2204129360616207, 0.20381008461117744, 0.20756932348012924, 0.20190972089767456, 0.18735179025679827, 0.18253164738416672, 0.17861966975033283, 0.15770219825208187, 0.1585920825600624, 0.16194971650838852, 0.15063238609582186, 0.14677502308040857, 0.14135919231921434, 0.1357191912829876, 0.16261292528361082, 0.13943073339760303, 0.13587470818310976, 0.1402781931683421, 0.12612093333154917, 0.12635562941432, 0.12035038229078054, 0.12193736806511879, 0.12475341418758035, 0.1218422343954444, 0.11839632550254464, 0.12893816269934177, 0.11513552023097873, 0.10949852224439383]","[1.0163323283195496, 0.9856197535991669, 0.9368349313735962, 0.8677322268486023, 0.7657111585140228, 0.6596305966377258, 0.5801082849502563, 0.5063088834285736, 0.45108720660209656, 0.41534122824668884, 0.39415426552295685, 0.35995523631572723, 0.37074440717697144, 0.3219999074935913, 0.3353228121995926, 0.2971308156847954, 0.2787846177816391, 0.2559305652976036, 0.24272485077381134, 0.23102034628391266, 0.21919526159763336, 0.21057848632335663, 0.19876426458358765, 0.19263502955436707, 0.1810746043920517, 0.17490874975919724, 0.16742175817489624, 0.16687456518411636, 0.1543404720723629, 0.16079268604516983, 0.14469485729932785, 0.1474192887544632, 0.13565738126635551, 0.1315012015402317, 0.14099080860614777, 0.1251070760190487, 0.12637387216091156, 0.12571584060788155, 0.11632634326815605, 0.12183375284075737, 0.11195233464241028, 0.11452499404549599, 0.11016809195280075, 0.1057959608733654, 0.10744171217083931, 0.102968480437994, 0.10396033897995949, 0.0998772569000721, 0.10346855223178864, 0.09648315981030464]",0.9666666666666667,0.6583573818206787
CrossEntropyLoss,L2,RMSprop,"[1.094628781080246, 0.6914841122925282, 0.5224122256040573, 0.47908419743180275, 0.3942955434322357, 0.3296537287533283, 0.3160372767597437, 0.33546897023916245, 0.2657867353409529, 0.25583099760115147, 0.2138670776039362, 0.2559380503371358, 0.2526263874024153, 0.1840035282075405, 0.20417519845068455, 0.1699433159083128, 0.18654704745858908, 0.15858240704983473, 0.189785392023623, 0.2123928191140294, 0.1489410661160946, 0.1401843223720789, 0.1387107390910387, 0.13823916763067245, 0.1477366778999567, 0.19250670820474625, 0.14602285157889128, 0.1265708263963461, 0.13188552856445312, 0.12322136713191867, 0.14383145235478878, 0.12451853137463331, 0.12519665900617838, 0.12282280065119267, 0.13459297735244036, 0.13718098122626543, 0.1225086273625493, 0.10969547647982836, 0.11520875617861748, 0.1218534130603075, 0.12180278776213527, 0.11881080828607082, 0.1260124845430255, 0.11234653927385807, 0.11276774574071169, 0.152393008582294, 0.12450507190078497, 0.1367201041430235, 0.10541555657982826, 0.1268638288602233]","[0.7391844987869263, 0.5451375246047974, 0.6694730073213577, 0.41766391694545746, 0.38198165595531464, 0.33423902094364166, 0.61421699821949, 0.2636319696903229, 0.24802890419960022, 0.23481635004281998, 0.19626979529857635, 0.5004561543464661, 0.2701905593276024, 0.16993878036737442, 0.2861897870898247, 0.16266200691461563, 0.1463763266801834, 0.15175040438771248, 0.5677929520606995, 0.15353044494986534, 0.12623102217912674, 0.14452627301216125, 0.15042180940508842, 0.1276477910578251, 0.19329029321670532, 0.1965097114443779, 0.11300050467252731, 0.22240961343050003, 0.10485027357935905, 0.12068770453333855, 0.19711122661828995, 0.11279591917991638, 0.10332518443465233, 0.11831597238779068, 0.14699364826083183, 0.1748782992362976, 0.1300574727356434, 0.10499285534024239, 0.10246731154620647, 0.09093535877764225, 0.08840314857661724, 0.08724385127425194, 0.08863069675862789, 0.15216712094843388, 0.0853201411664486, 0.0836812723428011, 0.25015750527381897, 0.08382412418723106, 0.3810415714979172, 0.08185170963406563]",0.9666666666666667,0.6464407444000244
CrossEntropyLoss,Dropout,SGD,"[1.2279675006866455, 1.073507897555828, 0.9922708347439766, 0.9255396127700806, 0.9196722209453583, 0.9286797121167183, 0.8830611854791641, 0.9217712432146072, 0.8073639273643494, 0.8778158128261566, 0.862027995288372, 0.8196949362754822, 0.8358548358082771, 0.7988384738564491, 0.7931801155209541, 0.7798817977309227, 0.8387753888964653, 0.8162331730127335, 0.7646177113056183, 0.7650365754961967, 0.8074315637350082, 0.7649670094251633, 0.7810815870761871, 0.7543077170848846, 0.8109335452318192, 0.6771880239248276, 0.7624223306775093, 0.7422287911176682, 0.7143828570842743, 0.7511074468493462, 0.715208612382412, 0.7537865787744522, 0.726766049861908, 0.7032876685261726, 0.7064212635159492, 0.6687547601759434, 0.7135596796870232, 0.6916053295135498, 0.6928308084607124, 0.692772202193737, 0.7356909140944481, 0.7166774570941925, 0.7335283532738686, 0.6508651524782181, 0.6428619176149368, 0.6904844418168068, 0.658087931573391, 0.7137835696339607, 0.7311735898256302, 0.6333817094564438]","[1.0273300111293793, 0.9482010900974274, 0.909787118434906, 0.8754580616950989, 0.8530943691730499, 0.8373859226703644, 0.8114618360996246, 0.7992705702781677, 0.7748371660709381, 0.7655199766159058, 0.7578246593475342, 0.7402898967266083, 0.7308187782764435, 0.7153662145137787, 0.7003073692321777, 0.6901602745056152, 0.6894459426403046, 0.6771517992019653, 0.6780506074428558, 0.6679064929485321, 0.660133570432663, 0.6563217043876648, 0.6482706069946289, 0.6372792422771454, 0.6321624219417572, 0.6205717623233795, 0.6182590425014496, 0.6088516712188721, 0.6005015075206757, 0.5960716307163239, 0.5953783094882965, 0.5986412167549133, 0.6026415228843689, 0.5957297682762146, 0.5942756235599518, 0.5803637504577637, 0.5763569176197052, 0.5744368731975555, 0.5619641542434692, 0.5635623335838318, 0.5630941390991211, 0.5657313764095306, 0.5538361668586731, 0.5484072864055634, 0.5431670248508453, 0.5479027628898621, 0.5435288548469543, 0.5438527166843414, 0.5439696609973907, 0.5341698527336121]",0.9666666666666667,0.5832550525665283
